PETTORALE,SESSO,ANNO,TEMPO_UFFICIALE
391,M,2009,0:52:10
203,M,1991,0:52:13
483,M,1968,0:52:42
187,M,1986,0:52:42
263,M,2006,0:52:43
684,F,1980,0:52:51
35,F,1981,0:52:52
2,M,1972,0:52:59
669,M,1988,0:53:01
302,F,2009,0:53:08
288,F,1972,0:53:09
419,M,1992,0:53:10
188,M,1972,0:53:12
658,F,1974,0:53:16
570,M,1974,0:53:19
157,F,1990,0:53:21
177,M,1992,0:53:24
556,M,1991,0:53:30
506,M,1962,0:53:38
575,F,1982,0:53:42
360,M,1994,0:53:44
434,M,1983,0:53:48
791,M,1978,0:53:55
697,M,1969,0:53:58
698,M,2011,0:53:58
700,M,2009,0:53:59
744,F,1988,0:54:00
257,M,1978,0:54:01
651,M,1979,0:54:05
623,M,1978,0:54:13
584,F,1990,0:54:16
582,M,1972,0:54:17
57,F,1980,0:54:18
586,F,1995,0:54:20
311,M,1971,0:54:22
213,M,1976,0:54:23
420,F,1990,0:54:29
777,M,1979,0:54:41
480,M,1962,0:54:47
259,F,1969,0:54:51
498,F,1966,0:54:54
38,F,1997,0:54:55
622,M,1981,0:54:56
310,M,1992,0:54:56
30,F,1994,0:55:01
810,M,1968,0:55:02
362,M,1983,0:55:02
520,M,1984,0:55:03
517,M,1955,0:55:06
305,M,1971,0:55:13
110,M,1977,0:55:13
411,M,1995,0:55:13
844,M,1991,0:55:14
514,F,1975,0:55:17
450,M,1988,0:55:18
230,M,1960,0:55:20
462,M,1991,0:55:23
245,F,1967,0:55:24
289,F,1973,0:55:24
596,M,2009,0:55:24
563,F,1960,0:55:26
800,F,1976,0:55:27
293,M,1965,0:55:31
736,M,1966,0:55:40
77,F,1988,0:55:43
226,M,1982,0:55:44
608,F,1960,0:55:45
794,F,1965,0:55:47
688,M,1979,0:55:47
637,F,2012,0:55:48
542,M,1970,0:55:50
323,M,1961,0:55:53
663,M,1991,0:55:53
778,F,1956,0:55:57
635,M,1960,0:55:57
748,F,1973,0:56:02
202,M,1998,0:56:08
278,M,1979,0:56:15
705,M,1978,0:56:19
145,F,1987,0:56:22
629,M,1958,0:56:25
762,M,1966,0:56:28
205,M,1978,0:56:30
241,M,1980,0:56:38
634,F,1982,0:56:40
122,M,1964,0:56:43
139,M,1972,0:56:44
29,M,1978,0:56:47
93,M,1962,0:56:51
726,M,1990,0:56:53
654,M,1974,0:57:02
44,M,1976,0:57:10
15,M,1984,0:57:12
385,M,1985,0:57:18
168,M,1997,0:57:19
318,F,1997,0:57:22
782,M,1989,0:57:25
308,M,1967,0:57:26
724,M,1995,0:57:26
356,M,1987,0:57:31
683,F,1986,0:57:43
508,F,1997,0:57:44
671,M,1995,0:57:47
486,M,1971,0:57:52
7,M,1986,0:57:54
253,M,1997,0:57:54
597,M,1982,0:57:59
359,M,1992,0:57:59
296,M,1987,0:58:01
17,M,1988,0:58:07
99,M,1993,0:58:08
723,M,1981,0:58:10
672,M,1963,0:58:13
120,F,2000,0:58:20
583,M,1970,0:58:27
833,M,1995,0:58:31
47,F,2003,0:58:31
96,M,1962,0:58:33
254,M,1971,0:58:35
401,F,1989,0:58:38
581,F,1995,0:58:38
711,M,1967,0:58:46
686,F,1966,0:58:48
831,M,1957,0:58:53
78,M,1967,0:58:57
417,M,1998,0:59:03
236,F,1987,0:59:07
626,M,1970,0:59:08
71,M,1998,0:59:09
571,M,1979,0:59:11
605,M,1971,0:59:12
91,F,1996,0:59:14
580,F,2000,0:59:17
743,F,1970,0:59:23
223,F,2007,0:59:23
269,F,1975,0:59:25
367,M,1982,0:59:25
240,M,1986,0:59:27
447,F,1977,0:59:33
664,M,1967,0:59:35
251,F,1996,0:59:38
621,M,1965,0:59:40
358,F,1989,0:59:41
611,M,1984,0:59:46
837,M,1996,0:59:49
83,M,1978,0:59:50
696,M,1988,0:59:55
763,F,1994,0:59:55
141,F,1971,0:59:57
475,F,1997,0:59:57
398,M,1971,0:59:58
111,F,1972,0:59:59
345,M,1978,1:00:00
201,M,1984,1:00:06
430,M,1978,1:00:15
179,F,1995,1:00:15
271,M,1998,1:00:24
578,F,1995,1:00:25
392,F,1974,1:00:27
395,M,2000,1:00:29
572,M,1989,1:00:34
526,M,1987,1:00:35
695,F,1966,1:00:38
796,F,1974,1:00:39
106,M,1989,1:00:40
427,M,1961,1:00:43
439,M,1967,1:00:47
400,M,1964,1:00:50
281,M,2002,1:00:50
455,F,2011,1:00:56
642,F,1973,1:01:06
191,M,1979,1:01:10
228,M,1981,1:01:10
143,F,1970,1:01:16
324,M,1961,1:01:17
406,M,1983,1:01:24
585,M,1992,1:01:27
454,M,1974,1:01:30
747,M,1960,1:01:31
613,F,1986,1:01:31
795,M,1974,1:01:32
843,M,1971,1:01:36
40,F,1977,1:01:39
49,F,1994,1:01:44
402,F,1991,1:02:03
497,F,1991,1:02:09
715,F,1969,1:02:13
388,F,1980,1:02:15
194,M,1964,1:02:17
501,F,1998,1:02:25
729,F,1988,1:02:28
25,M,1992,1:02:32
594,F,1955,1:02:50
644,F,1976,1:02:56
116,F,1993,1:02:59
649,F,1987,1:03:02
180,M,1966,1:03:06
75,M,1972,1:03:06
353,F,1972,1:03:07
167,M,1976,1:03:08
285,F,1980,1:03:08
708,F,1983,1:03:08
707,M,1979,1:03:09
303,F,1998,1:03:10
225,F,1989,1:03:13
216,F,1999,1:03:14
846,M,1986,1:03:21
780,F,1956,1:03:23
107,F,1975,1:03:26
653,M,1961,1:03:29
838,M,1969,1:03:29
465,M,1997,1:03:29
284,M,1969,1:03:36
53,F,1979,1:03:39
181,M,1965,1:03:41
774,M,1998,1:03:56
123,F,1997,1:04:07
842,M,1981,1:04:08
21,F,1973,1:04:12
754,M,1977,1:04:14
255,F,1988,1:04:17
175,M,1980,1:04:24
451,F,1974,1:04:30
260,F,1995,1:04:37
92,F,1989,1:04:40
309,F,1983,1:04:42
287,M,1983,1:04:43
158,F,2000,1:04:50
33,M,1962,1:04:55
469,F,1975,1:04:56
176,F,1974,1:05:05
108,F,1963,1:05:11
814,F,1998,1:05:12
445,M,1978,1:05:14
513,F,1980,1:05:15
414,M,1999,1:05:15
461,M,1999,1:05:16
429,M,1979,1:05:20
183,F,1972,1:05:25
422,F,2005,1:05:27
788,F,2005,1:05:27
666,M,1978,1:05:33
568,F,1975,1:05:35
848,M,1962,1:05:38
130,M,1973,1:05:38
149,M,1965,1:05:48
199,M,1968,1:05:50
26,F,1966,1:05:53
557,M,1968,1:05:55
633,F,1975,1:05:58
85,M,2006,1:06:00
693,F,1974,1:06:04
378,F,1975,1:06:06
674,M,1969,1:06:08
74,F,1968,1:06:11
258,M,1976,1:06:18
39,F,1968,1:06:21
562,F,1964,1:06:22
530,F,2005,1:06:24
146,M,1956,1:06:25
579,M,1966,1:06:26
527,F,1979,1:06:28
73,M,1992,1:06:38
140,M,1982,1:06:40
805,F,1974,1:06:46
659,F,1994,1:06:48
691,F,1976,1:06:49
573,M,1957,1:06:50
6,M,1992,1:06:59
61,F,1999,1:07:02
325,F,1997,1:07:03
148,M,1971,1:07:06
808,M,1958,1:07:11
494,F,1968,1:07:15
832,F,1980,1:07:20
97,F,1966,1:07:22
423,F,1971,1:07:22
845,M,1973,1:07:26
730,F,1984,1:07:28
687,M,1992,1:07:30
72,M,1995,1:07:35
612,M,1977,1:07:41
297,M,1990,1:07:41
426,F,1988,1:07:42
657,M,1967,1:07:44
609,F,1959,1:07:54
652,M,1971,1:08:01
731,M,1976,1:08:15
10,F,1988,1:08:15
45,M,1978,1:08:18
9,M,1988,1:08:18
505,M,1997,1:08:19
346,F,2002,1:08:22
645,M,1984,1:08:29
481,F,1977,1:08:35
234,F,1976,1:08:38
479,M,1970,1:08:40
178,F,1953,1:08:59
437,M,1958,1:09:01
31,F,1985,1:09:05
799,F,1976,1:09:07
615,M,1973,1:09:10
224,F,1979,1:09:15
100,F,1994,1:09:17
320,M,1964,1:09:24
602,M,1980,1:09:24
781,M,1994,1:09:24
836,M,1970,1:09:32
668,F,1961,1:09:34
377,F,2000,1:09:34
512,F,1973,1:09:40
525,F,1978,1:09:42
495,F,1995,1:09:44
834,F,1981,1:09:52
76,F,1994,1:09:52
436,M,1965,1:09:54
383,M,1964,1:09:56
539,M,2007,1:09:58
238,F,1958,1:10:11
745,F,1977,1:10:16
485,M,1979,1:10:16
344,F,1975,1:10:17
23,F,2003,1:10:18
118,M,1973,1:10:21
272,F,1998,1:10:25
129,F,2004,1:10:32
217,M,1975,1:10:35
493,M,1980,1:10:39
457,M,1960,1:10:41
787,F,1974,1:10:56
789,F,2005,1:10:56
703,M,1966,1:11:05
543,F,2002,1:11:10
338,M,1992,1:11:13
322,F,1974,1:11:15
599,F,1991,1:11:21
544,F,1978,1:11:22
532,F,1958,1:11:30
435,M,1999,1:11:36
618,F,1971,1:11:37
380,F,1985,1:11:42
760,M,1992,1:11:42
163,M,1986,1:11:44
549,M,1983,1:11:45
164,F,1962,1:11:47
43,F,1979,1:11:55
59,M,2002,1:11:56
342,F,2005,1:12:15
341,F,1973,1:12:16
641,M,1960,1:12:29
